date,equity,n_matched,n_top,return
2025-09-19,1000000.0,1,1,0.0
2025-09-23,1157894.7368421054,1,1,0.1578947368421053
2025-10-06,1157894.7368421054,2,2,0.0
2025-10-14,1159544.1595441597,2,2,0.0014245014245013454
2025-10-15,1159544.1595441597,1,1,0.0
2025-10-16,1159544.1595441597,1,1,0.0
2025-10-17,1159544.1595441597,1,1,0.0
2025-10-20,1159544.1595441597,1,1,0.0
2025-10-22,1159544.1595441597,1,1,0.0
2025-10-29,1159544.1595441597,1,1,0.0
2025-11-04,1159544.1595441597,1,1,0.0
2025-11-05,1159544.1595441597,1,1,0.0
2025-11-11,1159544.1595441597,1,1,0.0
2025-11-12,1159544.1595441597,1,1,0.0
2025-11-13,1325193.3251933253,1,1,0.1428571428571428
2025-11-14,1325193.3251933253,2,2,0.0
2025-11-17,1325193.3251933253,3,3,0.0
2025-11-18,1309961.218007195,3,3,-0.011494252873563315
2025-11-20,1309961.218007195,2,2,0.0
2025-11-21,1309961.218007195,2,2,0.0
2025-11-25,1309961.218007195,3,3,0.0
2025-11-26,1309961.218007195,3,3,0.0
2025-11-27,1309961.218007195,1,1,0.0
2025-12-01,1309961.218007195,1,1,0.0
2025-12-02,1309961.218007195,1,1,0.0
2025-12-03,1309961.218007195,1,1,0.0
2025-12-04,1370288.3793627894,2,2,0.046052631578947345
2025-12-05,1337744.9671464516,7,7,-0.023749316353008254
2025-12-08,1329654.3884467205,50,50,-0.006047923108235653
